hotel_url,-1,0,1,2,3,4,5,6,7,sentences_count,-1_pc,0_pc,1_pc,2_pc,3_pc,4_pc,5_pc,6_pc,7_pc
a-cayuga-lakefront-inn-alt-ithaca-new-york.en-gb,26.0,1.0,0.0,8.0,1.0,3.0,5.0,5.0,2.0,51,0.5098039215686274,0.0196078431372549,0.0,0.1568627450980392,0.0196078431372549,0.058823529411764705,0.09803921568627451,0.09803921568627451,0.0392156862745098
a-wave-inn.en-gb,14.0,1.0,3.0,0.0,0.0,1.0,5.0,4.0,10.0,38,0.3684210526315789,0.02631578947368421,0.07894736842105263,0.0,0.0,0.02631578947368421,0.13157894736842105,0.10526315789473684,0.2631578947368421
ac-by-marriott-new-york-times-square.en-gb,39.0,7.0,8.0,3.0,6.0,4.0,8.0,22.0,2.0,99,0.3939393939393939,0.0707070707070707,0.08080808080808081,0.030303030303030304,0.06060606060606061,0.04040404040404041,0.08080808080808081,0.2222222222222222,0.020202020202020204
ac-new-york-downtown-by-marriott.en-gb,59.0,6.0,11.0,7.0,16.0,6.0,14.0,36.0,4.0,159,0.3710691823899371,0.03773584905660377,0.06918238993710692,0.0440251572327044,0.10062893081761007,0.03773584905660377,0.0880503144654088,0.22641509433962265,0.025157232704402517
ace-new-york.en-gb,118.0,33.0,8.0,6.0,19.0,11.0,35.0,94.0,21.0,345,0.34202898550724636,0.09565217391304348,0.02318840579710145,0.017391304347826087,0.05507246376811594,0.03188405797101449,0.10144927536231885,0.27246376811594203,0.06086956521739131
acra-manor-resort.en-gb,4.0,4.0,0.0,0.0,2.0,1.0,0.0,4.0,2.0,17,0.23529411764705882,0.23529411764705882,0.0,0.0,0.11764705882352941,0.058823529411764705,0.0,0.23529411764705882,0.11764705882352941
adam-s-mark-buffalo-niagara.en-gb,152.0,18.0,27.0,22.0,71.0,16.0,69.0,98.0,39.0,512,0.296875,0.03515625,0.052734375,0.04296875,0.138671875,0.03125,0.134765625,0.19140625,0.076171875
adelphi.en-gb,11.0,0.0,3.0,2.0,2.0,1.0,0.0,2.0,1.0,22,0.5,0.0,0.13636363636363635,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.0,0.09090909090909091,0.045454545454545456
adirondack-diamond-point-lodge.en-gb,13.0,1.0,0.0,0.0,2.0,2.0,8.0,2.0,6.0,34,0.38235294117647056,0.029411764705882353,0.0,0.0,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.17647058823529413
adirondack-efficiencies.en-gb,20.0,6.0,1.0,1.0,5.0,4.0,5.0,19.0,8.0,69,0.2898550724637681,0.08695652173913043,0.014492753623188406,0.014492753623188406,0.07246376811594203,0.057971014492753624,0.07246376811594203,0.2753623188405797,0.11594202898550725
adirondack-gateway-rv-resort-and-campground.en-gb,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,6,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333
adirondack-inn.en-gb,8.0,5.0,1.0,0.0,1.0,1.0,1.0,6.0,3.0,26,0.3076923076923077,0.19230769230769232,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.23076923076923078,0.11538461538461539
adirondack-spruce-lodge.en-gb,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,10,0.5,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0
adirondack-sunrise-lodge.en-gb,8.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,4.0,22,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182
